Rank_PL_Dez25,Instituição,PL_202512,PL_202603,Delta_PL,Var_PL_pct,Contrib_Delta_PL_Pos_pct,Contrib_Acum_Delta_PL_Pos_pct
4,BNDES - PRUDENCIAL,159028130074.82,188293935118.82,29265805044.0,0.18402910875095457,0.25057717339920194,0.25057717339920194
1,ITAU - PRUDENCIAL,203673014341.53,220301832049.26,16628817707.730011,0.08164467816951884,0.14237784103013595,0.3929550144293379
3,BRADESCO - PRUDENCIAL,163710383749.73,172181730067.67,8471346317.940002,0.05174593158910712,0.07253263705008992,0.46548765147942783
7,BTG PACTUAL - PRUDENCIAL,66189386993.8,73596482823.15,7407095829.349991,0.11190760582272528,0.06342040252181823,0.5289080540012461
2,BB - PRUDENCIAL,177468658372.45,183806626366.06,6337967993.609985,0.03571316790094066,0.05426640758884573,0.5831744615900918
5,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,107058583682.48,112241447825.58,5182864143.100006,0.04841147682722591,0.04437627617410559,0.6275507377641973
13,CLOUDWALK IP - PRUDENCIAL,13637303664.87,17273705300.43,3636401635.5599995,0.2666510715697746,0.03113528713161681,0.6586860248958142
8,BCO CLASSICO S.A. - PRUDENCIAL,19932580178.35,23406807892.45,3474227714.1000023,0.1742989458973091,0.02974673544894777,0.688432760344762
9,NU PAGAMENTOS - PRUDENCIAL,16420372917.84,19707687345.65,3287314427.8100014,0.20019730637411295,0.028146362492219336,0.7165791228369813
6,SANTANDER - PRUDENCIAL,100129518839.24,102966480374.38,2836961535.1399994,0.028332918883738963,0.024290389464730753,0.740869512301712
24,VOLKSWAGEN - PRUDENCIAL,6436196539.72,8898175620.81,2461979081.089999,0.38252080493444734,0.021079746761792056,0.7619492590635041
44,PICPAY - PRUDENCIAL,3469180980.85,5735927152.23,2266746171.3799996,0.653395191514227,0.019408140236836305,0.7813573993003404
18,CITIBANK - PRUDENCIAL,8480347135.84,10227129740.69,1746782604.8500004,0.2059800827571874,0.014956152650102653,0.7963135519504431
10,SAFRA - PRUDENCIAL,15228825454.63,16965956968.24,1737131513.6100006,0.11406864690814766,0.014873518901962082,0.8111870708524052
37,BANCO C6 - PRUDENCIAL,4721090262.57,6141644468.81,1420554206.2400007,0.3008953710337874,0.012162947751643826,0.823350018604049
11,BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,14799235857.63,16202234572.92,1402998715.290001,0.09480210524293124,0.012012635628219493,0.8353626542322685
17,JP MORGAN CHASE - PRUDENCIAL,9923190578.62,11307849235.25,1384658656.6299992,0.13953764624991824,0.011855605946237757,0.8472182601785063
12,CIELO IP - PRUDENCIAL,13644262958.0,14848810308.21,1204547350.209999,0.08828233184290402,0.010313472319908076,0.8575317324984144
29,HONDA - PRUDENCIAL,5743499598.49,6670827816.1,927328217.6100006,0.1614570005112912,0.007939890368048267,0.8654716228664627
16,BANRISUL - PRUDENCIAL,10222093570.09,11105422333.87,883328763.7800007,0.08641368401915572,0.007563162006902759,0.8730347848733655
27,BCO DAYCOVAL S.A - PRUDENCIAL,6146488331.99,6915336842.18,768848510.1900005,0.12508744321346113,0.0065829689689365185,0.879617753842302
26,BOFA MERRILL LYNCH - PRUDENCIAL,6160907993.46,6915769821.56,754861828.1000004,0.12252444427044037,0.006463213395560825,0.8860809672378628
32,MERCADO PAGO IP - PRUDENCIAL,5156850061.66,5866962227.63,710112165.9700003,0.13770269786386108,0.0060800616650601245,0.8921610289029229
25,ABC-BRASIL - PRUDENCIAL,6234709987.89,6931939884.32,697229896.4299994,0.11183036545152301,0.005969762198380603,0.8981307911013036
51,MERCANTIL DO BRASIL - PRUDENCIAL,2057282618.37,2745599250.8,688316632.4300003,0.33457563209052854,0.005893445811542014,0.9040242369128456
20,STELLANTIS - PRUDENCIAL,7493915628.45,8134717276.72,640801648.2700005,0.08550958938438707,0.005486617077221528,0.9095108539900671
15,XP - PRUDENCIAL,10924477962.31,11560198025.83,635720063.5200005,0.05819226014398736,0.005443107966806519,0.9149539619568736
21,PAGSEGURO - PRUDENCIAL,6892381009.22,7499518907.8,607137898.5799999,0.08808826699624209,0.005198384198247027,0.9201523461551206
28,MORGAN STANLEY - PRUDENCIAL,5825368832.05,6408851602.54,583482770.4899998,0.10016237380194636,0.004995846283288711,0.9251481924384094
118,BULLLA IP - PRUDENCIAL,155818772.84,696428004.69,540609231.85,3.469474325825399,0.004628758136904878,0.9297769505753143
38,GOLDMAN SACHS - PRUDENCIAL,4678912160.64,5218780282.79,539868122.1499996,0.11538325653802278,0.004622412670804574,0.9343993632461188
42,BMG - PRUDENCIAL,3595653292.41,4093855229.98,498201937.5700002,0.13855672309164116,0.0042656620281112095,0.93866502527423
30,BANCO SICOOB - PRUDENCIAL,5501872621.27,5994751999.6,492879378.3299999,0.08958393119181816,0.004220089666523894,0.9428851149407539
14,VOTORANTIM - PRUDENCIAL,11739035534.91,12218018786.23,478983251.3199997,0.0408026068151494,0.004101109436110719,0.9469862243768646
36,SEM PARAR IP - PRUDENCIAL,4784762331.55,5258681812.0,473919480.4499998,0.09904765328155306,0.004057752850175765,0.9510439772270404
63,PINE - PRUDENCIAL,1147384533.89,1608010402.63,460625868.74,0.40145727533761605,0.0039439314247425635,0.954987908651783
35,AGIBANK - PRUDENCIAL,4834022945.76,5277239997.1,443217051.34000015,0.09168699783039984,0.0037948751370458357,0.9587827837888288
53,ORIGINAL - PRUDENCIAL,1792476703.73,2164632317.71,372155613.98,0.2076208930389857,0.003186438974617292,0.9619692227634461
54,PORTO SEGURO - PRUDENCIAL,1747570799.92,2115538055.21,367967255.28999996,0.21055928338173463,0.003150577767992553,0.9651198005314386
22,INTER - PRUDENCIAL,6800635820.7,7120256201.82,319620381.1199999,0.04699860271110663,0.002736626296164198,0.9678564268276029
40,CREDIT AGRICOLE - PRUDENCIAL,3857214452.47,4123105662.14,265891209.67000008,0.06893347853649527,0.002276590978810703,0.9701330178064136
43,AF PARANÁ - PRUDENCIAL,3506310337.7,3752340737.27,246030399.57000017,0.07016789042449287,0.0021065404488904062,0.972239558255304
46,GM - PRUDENCIAL,2423135932.18,2644740987.16,221605054.98000002,0.09145382726450293,0.0018974078520777816,0.9741369661073818
23,CREFISA S.A. CFI - PRUDENCIAL,6732872736.54,6946081425.31,213208688.77000046,0.03166682293174721,0.0018255172032962746,0.975962483310678
41,VOLVO - PRUDENCIAL,3777038867.38,3988000033.03,210961165.6500001,0.05585358611793595,0.0018062736530261784,0.9777687569637042
65,BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL,1077414033.36,1244152538.58,166738505.22000003,0.15475805962914085,0.0014276341714167706,0.979196391135121
34,BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,4837927349.2,4996411530.87,158484181.67000008,0.032758694008955515,0.001356959708152501,0.9805533508432736
49,BANESTES - PRUDENCIAL,2192028083.19,2349233835.2,157205752.00999975,0.0717170337440305,0.001346013647037457,0.981899364490311
69,QI SCD - PRUDENCIAL,865666322.36,1021880925.49,156214603.13,0.18045590904371103,0.0013375273168512644,0.9832368918071622
71,BCO DO EST. DE SE S.A. - PRUDENCIAL,831046535.44,961194428.62,130147893.17999995,0.15660722670733807,0.0011143411619080577,0.9843512329690702
62,BCO FIBRA S.A. - PRUDENCIAL,1186188311.44,1301839937.67,115651626.23000002,0.09749853806062388,0.0009902224646191901,0.9853414554336895
72,BANCO DIGIMAIS - PRUDENCIAL,798110441.01,912322475.65,114212034.63999999,0.1431030453573141,0.0009778965166082221,0.9863193519502976
66,AF DO ESTADO DE SC S.A. - PRUDENCIAL,1046743387.58,1158509817.88,111766430.30000007,0.10677538700138962,0.0009569569722543709,0.987276308922552
58,FISERV DO BRASIL IP - PRUDENCIAL,1614202601.35,1717189461.83,102986860.48000002,0.06380045503201978,0.0008817852902914452,0.9881580942128435
121,BMP SCMEPP LTDA - PRUDENCIAL,130168218.57,232217818.02,102049599.45000002,0.7839824541742595,0.0008737603540465162,0.98903185456689
