Rank_PL_Dez25,Instituição,PL_202512,PL_202603,Delta_PL,Var_PL_pct,Contrib_Delta_PL_Pos_pct
93,HS FINANCEIRA - PRUDENCIAL,343357151.41,234878493.32,-108478658.09000003,-0.31593533917826144,
98,IUGU IP - PRUDENCIAL,258028181.98,197329197.24,-60698984.73999998,-0.23524168668019688,
102,99PAY IP - PRUDENCIAL,245035961.14,206727601.95,-38308359.19,-0.15633770248160728,
95,ANDBANK - PRUDENCIAL,309027497.25,271453241.57,-37574255.68000001,-0.12158871302511579,
48,BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL,2206882901.31,1950912332.59,-255970568.72000003,-0.1159873813730926,
119,ZEMA CFI - PRUDENCIAL,150874631.14,136087274.41,-14787356.72999999,-0.09801088902930584,
94,BANCO TRAVELEX - PRUDENCIAL,315158191.06,289671770.04,-25486421.01999998,-0.0808686613356905,
106,FATOR - PRUDENCIAL,211938092.92,195204910.78,-16733182.139999986,-0.07895315990370942,
80,HAITONG - PRUDENCIAL,579476653.66,537832740.39,-41643913.26999998,-0.07186469550925857,
115,BANCO PAULISTA - PRUDENCIAL,175683473.53,164809610.64,-10873862.890000015,-0.06189462600842291,
105,DOCK IP - PRUDENCIAL,213508155.14,200492960.21,-13015194.929999977,-0.06095877190951208,
73,FACTA S.A. CFI - PRUDENCIAL,734927489.93,703539067.05,-31388422.879999995,-0.042709550683686724,
33,UBS (BRASIL) - PRUDENCIAL,5066726370.02,4895411622.53,-171314747.49000072,-0.03381172279278316,
19,STONE IP - PRUDENCIAL,8382441307.77,8122116707.32,-260324600.45000076,-0.03105594073276673,
45,SCOTIABANK BRASIL - PRUDENCIAL,3207510383.16,3111135609.91,-96374773.25,-0.030046597434566294,
120,CREDIARE CFI - PRUDENCIAL,142296610.55,138181631.47,-4114979.080000013,-0.028918321132843122,
90,CELCOIN IP - PRUDENCIAL,380628087.0,373917749.43,-6710337.569999993,-0.017629643736721913,
52,PAGUEVELOZ IP - PRUDENCIAL,1878467694.5,1845929059.86,-32538634.640000105,-0.017321902705737538,
70,DM SCFI - PRUDENCIAL,862693125.44,851255641.36,-11437484.080000043,-0.013257882487665094,
31,BCO COOPERATIVO SICREDI - PRUDENCIAL,5372922819.79,5317210185.89,-55712633.89999962,-0.010369148370193254,
55,SCANIA - PRUDENCIAL,1724352300.35,1710004550.5,-14347749.849999905,-0.008320660370324367,
114,RECARGAPAY IP - PRUDENCIAL,184071757.35,183100788.69,-970968.6599999964,-0.005274946433818009,
79,BR PARTNERS - PRUDENCIAL,584367790.39,582430435.37,-1937355.019999981,-0.003315300829135387,
