Rank_PL_Dez25,Instituição,PL_202512,PL_202603,Delta_PL,LL_202603,Residual_Delta_PL_menos_LL,Pct_Delta_PL_explicado_por_LL,Residual_pct_Delta_PL,Var_PL_pct,Leitura_PL_vs_LL
4,BNDES - PRUDENCIAL,159028130074.82,188293935118.82,29265805044.0,3441748611.9799995,25824056432.02,0.11760307317039338,0.8823969268296066,0.18402910875095457,aumento pouco explicado por LL
1,ITAU - PRUDENCIAL,203673014341.53,220301832049.26,16628817707.730011,12150492100.620056,4478325607.109955,0.7306888748303388,0.26931112516966116,0.08164467816951884,aumento parcialmente explicado por LL
3,BRADESCO - PRUDENCIAL,163710383749.73,172181730067.67,8471346317.940002,5042823422.570007,3428522895.369995,0.5952800456157343,0.4047199543842657,0.05174593158910712,aumento parcialmente explicado por LL
7,BTG PACTUAL - PRUDENCIAL,66189386993.8,73596482823.15,7407095829.349991,4570395694.51001,2836700134.839981,0.6170293728886568,0.3829706271113432,0.11190760582272528,aumento parcialmente explicado por LL
2,BB - PRUDENCIAL,177468658372.45,183806626366.06,6337967993.609985,3205914832.9599915,3132053160.649994,0.505826920582785,0.49417307941721494,0.03571316790094066,aumento parcialmente explicado por LL
5,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,107058583682.48,112241447825.58,5182864143.100006,3093792133.2899933,2089072009.8100128,0.5969271136324857,0.40307288636751426,0.04841147682722591,aumento parcialmente explicado por LL
13,CLOUDWALK IP - PRUDENCIAL,13637303664.87,17273705300.43,3636401635.5599995,273335794.11000013,3363065841.4499993,0.07516655790633174,0.9248334420936682,0.2666510715697746,aumento pouco explicado por LL
8,BCO CLASSICO S.A. - PRUDENCIAL,19932580178.35,23406807892.45,3474227714.1000023,-1161624.8199999928,3475389338.9200025,-0.00033435483094144605,1.0003343548309416,0.1742989458973091,aumento não explicado por LL
9,NU PAGAMENTOS - PRUDENCIAL,16420372917.84,19707687345.65,3287314427.8100014,1420540594.1500015,1866773833.6599998,0.4321279954641763,0.5678720045358238,0.20019730637411295,aumento pouco explicado por LL
6,SANTANDER - PRUDENCIAL,100129518839.24,102966480374.38,2836961535.1399994,4081450452.2800293,-1244488917.14003,1.4386696476935548,-0.4386696476935548,0.028332918883738963,LL excede o aumento; outras mutações reduziram PL
24,VOLKSWAGEN - PRUDENCIAL,6436196539.72,8898175620.81,2461979081.089999,-111881645.32999992,2573860726.419999,-0.04544378390106639,1.0454437839010664,0.38252080493444734,aumento não explicado por LL
44,PICPAY - PRUDENCIAL,3469180980.85,5735927152.23,2266746171.3799996,107144942.90999985,2159601228.47,0.04726816979457819,0.9527318302054218,0.653395191514227,aumento pouco explicado por LL
18,CITIBANK - PRUDENCIAL,8480347135.84,10227129740.69,1746782604.8500004,340378334.9699936,1406404269.8800068,0.19486015834192633,0.8051398416580737,0.2059800827571874,aumento pouco explicado por LL
10,SAFRA - PRUDENCIAL,15228825454.63,16965956968.24,1737131513.6100006,988941558.7999954,748189954.8100052,0.569295733254437,0.43070426674556295,0.11406864690814766,aumento parcialmente explicado por LL
37,BANCO C6 - PRUDENCIAL,4721090262.57,6141644468.81,1420554206.2400007,598411271.2200012,822142935.0199995,0.42125197939746933,0.5787480206025306,0.3008953710337874,aumento pouco explicado por LL
11,BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,14799235857.63,16202234572.92,1402998715.290001,500562680.7600002,902436034.5300007,0.3567805695791628,0.6432194304208372,0.09480210524293124,aumento pouco explicado por LL
17,JP MORGAN CHASE - PRUDENCIAL,9923190578.62,11307849235.25,1384658656.6299992,572112011.1799927,812546645.4500065,0.4131790953969887,0.5868209046030113,0.13953764624991824,aumento pouco explicado por LL
12,CIELO IP - PRUDENCIAL,13644262958.0,14848810308.21,1204547350.209999,384831271.4000001,819716078.809999,0.31948206214800035,0.6805179378519997,0.08828233184290402,aumento pouco explicado por LL
29,HONDA - PRUDENCIAL,5743499598.49,6670827816.1,927328217.6100006,103499303.71000004,823828913.9000006,0.11161021712112718,0.8883897828788728,0.1614570005112912,aumento pouco explicado por LL
16,BANRISUL - PRUDENCIAL,10222093570.09,11105422333.87,883328763.7800007,221407096.6399994,661921667.1400013,0.2506508400026951,0.7493491599973049,0.08641368401915572,aumento pouco explicado por LL
27,BCO DAYCOVAL S.A - PRUDENCIAL,6146488331.99,6915336842.18,768848510.1900005,441285602.15999985,327562908.0300007,0.5739565028889082,0.42604349711109174,0.12508744321346113,aumento parcialmente explicado por LL
26,BOFA MERRILL LYNCH - PRUDENCIAL,6160907993.46,6915769821.56,754861828.1000004,306574253.6300049,448287574.4699955,0.4061329401191968,0.5938670598808032,0.12252444427044037,aumento pouco explicado por LL
32,MERCADO PAGO IP - PRUDENCIAL,5156850061.66,5866962227.63,710112165.9700003,-30454391.569999695,740566557.54,-0.042886733997015175,1.0428867339970151,0.13770269786386108,aumento não explicado por LL
25,ABC-BRASIL - PRUDENCIAL,6234709987.89,6931939884.32,697229896.4299994,233030384.30000114,464199512.1299982,0.33422316726976004,0.6657768327302399,0.11183036545152301,aumento pouco explicado por LL
51,MERCANTIL DO BRASIL - PRUDENCIAL,2057282618.37,2745599250.8,688316632.4300003,273710823.77,414605808.6600003,0.39765249141765513,0.6023475085823449,0.33457563209052854,aumento pouco explicado por LL
20,STELLANTIS - PRUDENCIAL,7493915628.45,8134717276.72,640801648.2700005,316893030.7800002,323908617.49000025,0.4945259295688921,0.5054740704311079,0.08550958938438707,aumento pouco explicado por LL
15,XP - PRUDENCIAL,10924477962.31,11560198025.83,635720063.5200005,-33498748.679992676,669218812.1999931,-0.05269418192420911,1.052694181924209,0.05819226014398736,aumento não explicado por LL
21,PAGSEGURO - PRUDENCIAL,6892381009.22,7499518907.8,607137898.5799999,495905298.6500006,111232599.92999935,0.8167918685521774,0.1832081314478225,0.08808826699624209,aumento parcialmente explicado por LL
28,MORGAN STANLEY - PRUDENCIAL,5825368832.05,6408851602.54,583482770.4899998,211096066.9699974,372386703.52000237,0.3617862902665013,0.6382137097334987,0.10016237380194636,aumento pouco explicado por LL
118,BULLLA IP - PRUDENCIAL,155818772.84,696428004.69,540609231.85,35514573.879999995,505094657.97,0.06569361340439343,0.9343063865956066,3.469474325825399,aumento pouco explicado por LL
38,GOLDMAN SACHS - PRUDENCIAL,4678912160.64,5218780282.79,539868122.1499996,291495463.2799988,248372658.87000084,0.5399382762574158,0.46006172374258425,0.11538325653802278,aumento parcialmente explicado por LL
42,BMG - PRUDENCIAL,3595653292.41,4093855229.98,498201937.5700002,147091649.90999985,351110287.6600003,0.295245037840369,0.704754962159631,0.13855672309164116,aumento pouco explicado por LL
30,BANCO SICOOB - PRUDENCIAL,5501872621.27,5994751999.6,492879378.3299999,185138152.64999962,307741225.6800003,0.3756256820427232,0.6243743179572768,0.08958393119181816,aumento pouco explicado por LL
14,VOTORANTIM - PRUDENCIAL,11739035534.91,12218018786.23,478983251.3199997,476188087.02000046,2795164.299999237,0.994164379876966,0.00583562012303399,0.0408026068151494,aumento majoritariamente explicado por LL
36,SEM PARAR IP - PRUDENCIAL,4784762331.55,5258681812.0,473919480.4499998,254528814.53999996,219390665.90999985,0.5370718551141171,0.46292814488588285,0.09904765328155306,aumento parcialmente explicado por LL
63,PINE - PRUDENCIAL,1147384533.89,1608010402.63,460625868.74,150793214.3899994,309832654.3500006,0.3273659267172303,0.6726340732827697,0.40145727533761605,aumento pouco explicado por LL
35,AGIBANK - PRUDENCIAL,4834022945.76,5277239997.1,443217051.34000015,142071371.48000002,301145679.86000013,0.3205458162100681,0.6794541837899318,0.09168699783039984,aumento pouco explicado por LL
53,ORIGINAL - PRUDENCIAL,1792476703.73,2164632317.71,372155613.98,108728044.66000032,263427569.3199997,0.2921574754635932,0.7078425245364068,0.2076208930389857,aumento pouco explicado por LL
54,PORTO SEGURO - PRUDENCIAL,1747570799.92,2115538055.21,367967255.28999996,87685604.53999996,280281650.75,0.23829730303283034,0.7617026969671696,0.21055928338173463,aumento pouco explicado por LL
22,INTER - PRUDENCIAL,6800635820.7,7120256201.82,319620381.1199999,337759834.4899998,-18139453.369999886,1.056753118516524,-0.056753118516523884,0.04699860271110663,aumento majoritariamente explicado por LL
40,CREDIT AGRICOLE - PRUDENCIAL,3857214452.47,4123105662.14,265891209.67000008,60446103.35000038,205445106.3199997,0.22733396649336612,0.7726660335066339,0.06893347853649527,aumento pouco explicado por LL
43,AF PARANÁ - PRUDENCIAL,3506310337.7,3752340737.27,246030399.57000017,60541887.139999986,185488512.4300002,0.24607482346007695,0.7539251765399231,0.07016789042449287,aumento pouco explicado por LL
46,GM - PRUDENCIAL,2423135932.18,2644740987.16,221605054.98000002,216626297.98000002,4978757.0,0.9775331975146084,0.02246680248539157,0.09145382726450293,aumento majoritariamente explicado por LL
23,CREFISA S.A. CFI - PRUDENCIAL,6732872736.54,6946081425.31,213208688.77000046,111171473.91000032,102037214.86000013,0.5214209352880872,0.47857906471191286,0.03166682293174721,aumento parcialmente explicado por LL
41,VOLVO - PRUDENCIAL,3777038867.38,3988000033.03,210961165.6500001,99445371.13999999,111515794.51000011,0.47139183571343685,0.5286081642865631,0.05585358611793595,aumento pouco explicado por LL
65,BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL,1077414033.36,1244152538.58,166738505.22000003,58182614.07000005,108555891.14999998,0.3489452780761833,0.6510547219238166,0.15475805962914085,aumento pouco explicado por LL
34,BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,4837927349.2,4996411530.87,158484181.67000008,143772365.29999995,14711816.370000124,0.9071717049930355,0.0928282950069645,0.032758694008955515,aumento majoritariamente explicado por LL
49,BANESTES - PRUDENCIAL,2192028083.19,2349233835.2,157205752.00999975,90703336.32999992,66502415.67999983,0.5769721220138965,0.42302787798610353,0.0717170337440305,aumento parcialmente explicado por LL
69,QI SCD - PRUDENCIAL,865666322.36,1021880925.49,156214603.13,123644378.61000001,32570224.51999998,0.7915033302431053,0.2084966697568947,0.18045590904371103,aumento parcialmente explicado por LL
71,BCO DO EST. DE SE S.A. - PRUDENCIAL,831046535.44,961194428.62,130147893.17999995,30563763.559999943,99584129.62,0.23483871166265433,0.7651612883373456,0.15660722670733807,aumento pouco explicado por LL
62,BCO FIBRA S.A. - PRUDENCIAL,1186188311.44,1301839937.67,115651626.23000002,76160191.30999994,39491434.92000008,0.6585310885169724,0.34146891148302766,0.09749853806062388,aumento parcialmente explicado por LL
72,BANCO DIGIMAIS - PRUDENCIAL,798110441.01,912322475.65,114212034.63999999,-108354961.89000005,222566996.53000003,-0.9487175518021229,1.948717551802123,0.1431030453573141,aumento não explicado por LL
66,AF DO ESTADO DE SC S.A. - PRUDENCIAL,1046743387.58,1158509817.88,111766430.30000007,20276202.810000002,91490227.49000007,0.18141585765578477,0.8185841423442153,0.10677538700138962,aumento pouco explicado por LL
58,FISERV DO BRASIL IP - PRUDENCIAL,1614202601.35,1717189461.83,102986860.48000002,26483332.44999993,76503528.03000009,0.25715253699905705,0.742847463000943,0.06380045503201978,aumento pouco explicado por LL
121,BMP SCMEPP LTDA - PRUDENCIAL,130168218.57,232217818.02,102049599.45000002,34844179.01999998,67205420.43000004,0.3414435647743248,0.6585564352256752,0.7839824541742595,aumento pouco explicado por LL
104,IFOOD PAGO IP - PRUDENCIAL,232055572.03,320840651.3,88785079.27000001,97624877.88,-8839798.609999985,1.0995640110104279,-0.09956401101042778,0.3826026606183881,aumento majoritariamente explicado por LL
61,PARANÁ BANCO - PRUDENCIAL,1210832178.65,1293557592.42,82725413.76999998,23297276.440000057,59428137.32999992,0.28162175779226767,0.7183782422077324,0.06832112263669231,aumento pouco explicado por LL
47,MERCEDES-BENZ - PRUDENCIAL,2312594005.39,2391986311.55,79392306.16000032,29240037.53000009,50152268.63000023,0.3682981254011223,0.6317018745988777,0.03433041250429578,aumento pouco explicado por LL
110,MÊNTORE IP - PRUDENCIAL,196306012.7,270691227.14,74385214.44,13539484.429999992,60845730.010000005,0.18201849025952735,0.8179815097404727,0.37892478899093857,aumento pouco explicado por LL
67,BS2 - PRUDENCIAL,914196159.62,986765729.43,72569569.80999994,10141390.76999998,62428179.03999996,0.13974715292583306,0.8602528470741669,0.07938074235639386,aumento pouco explicado por LL
84,RANDON - PRUDENCIAL,503609868.04,566869053.86,63259185.81999999,28128637.099999994,35130548.72,0.444656957489751,0.555343042510249,0.1256114898347773,aumento pouco explicado por LL
88,CREDSYSTEM IP - PRUDENCIAL,415214665.23,466412977.39,51198312.15999997,44338248.01000002,6860064.149999946,0.8660099550047364,0.1339900449952636,0.1233056451212764,aumento parcialmente explicado por LL
86,BANQI IP - PRUDENCIAL,430588886.11,480124534.72,49535648.610000014,19160354.330000013,30375294.28,0.3867993024751071,0.6132006975248929,0.11504163300059127,aumento pouco explicado por LL
83,BNY MELLON - PRUDENCIAL,517255517.77,564727025.22,47471507.45000005,5098130.1099999845,42373377.34000006,0.10739347418806224,0.8926065258119378,0.09177573910600306,aumento pouco explicado por LL
