Instituição,PL_202512,Delta_PL_Dez25_Mar26,LL_202603,Proxy_Capital_Outras_1T26,Maior_Mes_Aumento_PL
BNDES - PRUDENCIAL,159028130074.82,29265805044.0,3441748611.9799995,25824056432.02,Dez25->Jan26
ITAU - PRUDENCIAL,203673014341.53,16628817707.730011,12150492100.620056,4478325607.109955,Dez25->Jan26
BCO CLASSICO S.A. - PRUDENCIAL,19932580178.35,3474227714.1000023,-1161624.8199999928,3475389338.9200025,Fev26->Mar26
BRADESCO - PRUDENCIAL,163710383749.73,8471346317.940002,5042823422.570007,3428522895.369995,Dez25->Jan26
CLOUDWALK IP - PRUDENCIAL,13637303664.87,3636401635.5599995,273335794.11000013,3363065841.4499993,Fev26->Mar26
BB - PRUDENCIAL,177468658372.45,6337967993.609985,3205914832.9599915,3132053160.649994,Dez25->Jan26
BTG PACTUAL - PRUDENCIAL,66189386993.8,7407095829.349991,4570395694.51001,2836700134.839981,Dez25->Jan26
VOLKSWAGEN - PRUDENCIAL,6436196539.72,2461979081.089999,-111881645.32999992,2573860726.419999,Fev26->Mar26
PICPAY - PRUDENCIAL,3469180980.85,2266746171.3799996,107144942.90999985,2159601228.47,Jan26->Fev26
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,107058583682.48,5182864143.100006,3093792133.2899933,2089072009.8100128,Dez25->Jan26
NU PAGAMENTOS - PRUDENCIAL,16420372917.84,3287314427.8100014,1420540594.1500015,1866773833.6599998,Dez25->Jan26
CITIBANK - PRUDENCIAL,8480347135.84,1746782604.8500004,340378334.9699936,1406404269.8800068,Dez25->Jan26
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,14799235857.63,1402998715.290001,500562680.7600002,902436034.5300007,Dez25->Jan26
HONDA - PRUDENCIAL,5743499598.49,927328217.6100006,103499303.71000004,823828913.9000006,Dez25->Jan26
BANCO C6 - PRUDENCIAL,4721090262.57,1420554206.2400007,598411271.2200012,822142935.0199995,Dez25->Jan26
