Mês,Delta_PL,Proxy_Capital_Outras
Dez/25->Jan/26,108797229572.03995,91476463510.67006
Jan/26->Fev/26,-1305296572.6700265,-14379271448.110102
Fev/26->Mar/26,8223537503.500049,-10656718511.970028
