SEGMENTO;-;
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;SITUAÇÃO;
91341925;"ADMINISTRADORA DE CONSÓRCIO SPENGLER LTDA.";"RUA 28 DE SETEMBRO  1779";"SEDE";"CENTRO";"96810530";"SANTA CRUZ DO SUL";"RS";"Brasil";-;-;"https://www.spengler.com.br";"Autorizada em Atividade";
12228808;"ADMINISTRADORA DE CONSÓRCIO UNICOOB LTDA";"AV. DUQUE DE CAXIAS, 882";"ED. NEW TOWER PLAZA - SL. 2";"NOVO CENTRO";"87020025";"MARINGA";"PR";"Brasil";-;-;"https://www.consorciounicoob.com.br";"Autorizada em Atividade";
3828278;"ADMINISTRADORA DE CONSÓRCIOS BECKER LTDA.";"RUA PADRE MAXIMILIANO VON LASSBERG, 755";"2- ANDAR";"CENTRO";"97900000";"CERRO LARGO";"RS";"Brasil";-;-;"https://www.consorciobecker.com";"Autorizada em Atividade";
31841474;"ADOPAY INSTITUICAO DE PAGAMENTO LTDA";"R CESAR GONCALVES, 265";-;"DISTRITO INDUSTRIAL";"17347604";"BARRA BONITA";"SP";"Brasil";-;-;"https://www.adopay.com.br";-;
14796606;"ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.";"AVENIDA DAS NAÇÕES UNIDAS, 14.401";"TORRE PAINEIRA - B2  , ANDAR 8";"VILA GERTRUDES";"04794000";"SAO PAULO";"SP";"Brasil";-;-;"https://www.adyen.com";"Autorizada em Atividade";
60114865;"AFINZ INSTITUIÇÃO DE PAGAMENTO S.A.";"ALAMEDA MAMORE  535";"5  ANDAR  SALAS 501 503";"ALPHAVILLEINDUSTRIAL";"06454910";"BARUERI";"SP";"Brasil";-;-;"https://www.afinz.com.br";"Autorizada em Atividade";
3918382;"AGENCIA DE FOMENTO DE GOIAS S/A";"AVENIDA GOIAS,91";-;"CENTRO";"74005010";"GOIANIA";"GO";"Brasil";-;-;"https://www.fomento.goias.gov.br";"Autorizada em Atividade";
2929977;"AGENCIA DE FOMENTO DO AMAPA S.A.";"RUA CÂNDIDO MENDES, 1111";"PRÉDIO";"CENTRAL";"68900100";"MACAPA";"AP";"Brasil";-;-;"https://www.afap-ap.com.br";"Autorizada em Atividade";
3058464;"AGENCIA DE FOMENTO DO ESTADO DE RORAIMA S/A";"AV. MAJOR WILLIAMS, 1335";-;"CENTRO";"69301110";"BOA VISTA";"RR";"Brasil";-;-;"https://www.desenvolverr.com.br";"Autorizada em Atividade";
5940203;"AGENCIA DE FOMENTO DO ESTADO DO RIO DE JANEIRO S.A.";"AVENIDA RIO BRANCO, 245";"2-, 3-, 4-, 5- E 6- ANDAR";"CENTRO";"20040917";"RIO DE JANEIRO";"RJ";"Brasil";-;-;"https://www.agerio.com.br";"Autorizada em Atividade";
